statistic,estimate,ci_low_95,ci_high_95
russia_daily_rate,15.047198022959183,14.857780612244898,15.24234693877551
ukraine_daily_rate,7.286905548469387,7.151147959183674,7.420918367346939
rate_ratio,2.06514579106529,2.0196872398601786,2.1127969695441524
