side,date,category,status,count,source_url,source_label
Russia,2026-05-27,Tanks,destroyed,1,https://i.postimg.cc/pXqsv75V/1007-T-62-Obr-1967-destr-27-05-26.jpg,"7, destroyed"
Russia,2026-05-10,Tanks,destroyed,1,https://i.postimg.cc/wTyzPHCy/1011-T-72B-Obr-2022-destr-10-05-26.jpg,"161, destroyed"
Russia,2026-05-31,Tanks,destroyed,1,https://i.postimg.cc/hPp2nwQG/1011-T-72-destr-31-05-26.jpg,"190, destroyed"
Russia,2026-02-15,Tanks,destroyed,1,https://i.postimg.cc/dtkFXvb3/1098-T-80BVM-Obr-2022-destr-15-02-26.jpg,"96, destroyed"
Russia,2026-05-08,Tanks,destroyed,1,https://i.postimg.cc/NGPYpLzy/1005-T-90M-Proryv-destr-08-05-26.jpg,"103, destroyed"
Russia,2022-09-06,Tanks,destroyed,1,https://i.postimg.cc/ZK5z1QRd/1100-Unknown-tank-destr-06-09-22.jpg,"493, destroyed"
Russia,2025-04-15,Tanks,destroyed,1,https://i.postimg.cc/Qx0fDPKt/1028-Unknown-tank-destr-15-04-25.jpg,"494, destroyed"
Russia,2026-05-08,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/x1qhFPBL/1001-MT-LB(V)-destr-08-05-26.jpg,"1288, destroyed"
Russia,2024-08-20,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/Z502DLX3/1003-MT-LB(V)-destr-20-08-24.jpg,"1289, destroyed"
Russia,2026-05-14,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/dVDpS9g2/1016-MT-LB(V)-destr-14-05-26.jpg,"1290, destroyed"
Russia,2026-05-15,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/wj3ZbknL/1020-MT-LB(V)-destr-15-05-26.jpg,"1291, destroyed"
Russia,2026-05-20,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/2SJMpZfL/1028-MT-LB(V)-destr-20-05-26.jpg,"1292, destroyed"
Russia,2026-05-20,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/13T2xqZw/1033-MT-LB(V)-destr-20-05-26.jpg,"1293, destroyed"
Russia,2026-05-18,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/QdPwLTrg/1055-MT-LB(V)-destr-18-05-26.jpg,"1294, destroyed"
Russia,2026-04-27,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/x17hrzSv/1080-MT-LB(V)-destr-27-04-26.jpg,"1295, destroyed"
Russia,2026-04-27,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/XYhmMC08/1081-MT-LB(V)-destr27-04-26.jpg,"1296, destroyed"
Russia,2026-05-07,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/52GTcCMP/1086-MT-LB(V)-destr-07-05-26.jpg,"1297, destroyed"
Russia,2026-05-17,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/FsmFKYkT/1005-MT-LB(V)-destr-17-05-26.jpg,"1298, destroyed"
Russia,2025-07-08,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/J4Ds7HGm/1010-MT-LB(V)-destr-08-07-25.jpg,"1299, destroyed"
Russia,2025-12-05,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/RV6WCJNv/1009-MT-LBVM(K)-destr-05-12-25.jpg,"144, destroyed"
Russia,2026-05-28,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/s2h83gj1/1099-MT-LBu-destr-28-05-26.jpg,"34, destroyed"
Russia,2026-05-30,Armoured Fighting Vehicles,destroyed,1,https://i.postimg.cc/HscrW8VY/1003-MT-LBu-destr-30-05-26.jpg,"35, destroyed"
Russia,2026-05-21,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/y6tZZ6BT/1076-BMP-1AM-675-sb3KDZ-destr-21-05-26.jpg,"67, destroyed"
Russia,2026-04-13,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/mgG1mdPY/1038-BMP-2-675-sb3KDZ-destr-13-04-26.jpg,"428, destroyed"
Russia,2026-02-28,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/YCwLdXvY/1018-BMP-2-675-sb3KDZ-destr-28-02-26.jpg,"429, destroyed"
Russia,2026-04-24,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/qvd61mNc/1021-BMP-2-675-sb3KDZ-dam-24-04-26.jpg,"4, damaged"
Russia,2025-06-02,Infantry Fighting Vehicles,damaged,1,https://i.postimg.cc/L8MgxyJv/1056-BMP-2-675-sb3KDZ-dam-02-06-25.jpg,"5, damaged"
Russia,2026-05-07,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/kgdRTj2x/1019-BMP-2M-675-sb3KDZ-destr-07-05-26.jpg,"44, destroyed"
Russia,2023-10-23,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/mr2zsXMZ/1022-unkn-bmp-destr-23-10-23.jpg,"323, destroyed"
Russia,2023-09-23,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/FKsd4Wcr/1030-BMP-1-or-2-destr-23-09-23.jpg,"324, destroyed"
Russia,2026-04-24,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/bYWttY89/1022-BMP-1-or-2-675-sb3KDZ-destr-24-04-26.jpg,"12, destroyed"
Russia,2026-05-26,Infantry Fighting Vehicles,destroyed,1,https://i.postimg.cc/VkBrpjtZ/1097-BMP-3-Obr-2020-destr-26-05-26.jpg,"35, destroyed"
Russia,2026-05-01,Armoured Personnel Carriers,destroyed,1,https://i.postimg.cc/cCrbCRww/1039-BTR-70M-destr-01-05-26.jpg,"27, destroyed"
Russia,2026-06-06,Armoured Personnel Carriers,destroyed,1,https://i.postimg.cc/76zx80BH/1036-BTR-80-destr-06-06-26.jpg,"216, destroyed"
Russia,2026-05-18,Armoured Personnel Carriers,damaged,1,https://i.postimg.cc/sxvNxY79/1044-BTR-80-dam-aband-18-05-26.jpg,"21, damaged and abandoned"
Russia,2026-05-18,Armoured Personnel Carriers,abandoned,1,https://i.postimg.cc/prp6rfzD/1045-BTR-80-or-82-aband-18-05-26.jpg,"9, abandoned"
